model_name,seed,training_status,quantisation_status,training_dataset,num_training_samples,num_training_domains,randomised_training_samples,generation_strategy,prompt_type,explanation_type,response_type,response_format,evaluation_dataset,label_accuracy,misclassification_rate,combined_accuracy,malformed_label,malformed_domain,total_predictions,correct_predictions,correct_label_and_domain,Constitutional_Law_accuracy,Contracts_accuracy,Criminal_Law_accuracy,Evidence_accuracy,Real_Property_accuracy,Torts_accuracy,Civil_Procedure_accuracy,Constitutional_Law_confidence,Contracts_confidence,Criminal_Law_confidence,Evidence_confidence,Real_Property_confidence,Torts_confidence,Civil_Procedure_confidence,correct_domain_wrong_label,correct_label_wrong_domain,both_wrong
llama2,seed_21,trained,full_model,all_domains_10_samples,10,"[""all""]",True,temp_06,zero_shot,structured,answer_first,json,test_set_2,0.33,0.6699999999999999,0.29,0,10,100,33,29,0.2857142857142857,0.3333333333333333,0.35714285714285715,0.26666666666666666,0.26666666666666666,0.2857142857142857,0.23076923076923078,0.11,0.18,0.16,0.14,0.14,0.15,0.11,61,4,6
llama2,seed_21,trained,full_model,all_domains_20_samples,20,"[""all""]",True,temp_06,zero_shot,structured,answer_first,json,test_set_1,0.3434343434343434,0.6565656565656566,0.3434343434343434,0,5,99,34,34,0.35714285714285715,0.2857142857142857,0.38461538461538464,0.2,0.21428571428571427,0.46153846153846156,0.5,0.13131313131313133,0.1414141414141414,0.13131313131313133,0.1414141414141414,0.1414141414141414,0.15151515151515152,0.16161616161616163,60,0,5
llama2,seed_21,trained,full_model,all_domains_20_samples,20,"[""all""]",True,temp_06,zero_shot,structured,answer_first,json,test_set_2,0.35,0.65,0.34,0,6,100,35,34,0.35714285714285715,0.5333333333333333,0.5,0.2,0.3333333333333333,0.14285714285714285,0.3076923076923077,0.15,0.15,0.14,0.13,0.15,0.13,0.15,60,1,5
llama2,seed_21,trained,full_model,all_domains_75_samples,75,"[""all""]",True,temp_06,zero_shot,structured,answer_first,json,test_set_1,0.32323232323232326,0.6767676767676767,0.30303030303030304,1,4,99,32,30,0.14285714285714285,0.5,0.3076923076923077,0.06666666666666667,0.42857142857142855,0.3076923076923077,0.375,0.13131313131313133,0.16161616161616163,0.13131313131313133,0.1414141414141414,0.13131313131313133,0.15151515151515152,0.15151515151515152,65,2,2
llama2,seed_21,trained,full_model,all_domains_75_samples,75,"[""all""]",True,temp_06,zero_shot,structured,answer_first,json,test_set_2,0.39,0.61,0.39,0,6,100,39,39,0.5,0.3333333333333333,0.5714285714285714,0.26666666666666666,0.2,0.5,0.38461538461538464,0.15,0.16,0.15,0.14,0.14,0.14,0.12,55,0,6
llama2,seed_21,trained,full_model,all_domains_125_samples,125,"[""all""]",True,temp_06,zero_shot,structured,answer_first,json,test_set_1,0.41414141414141414,0.5858585858585859,0.37373737373737376,0,7,99,41,37,0.42857142857142855,0.2857142857142857,0.3076923076923077,0.4,0.42857142857142855,0.3076923076923077,0.4375,0.12121212121212122,0.18181818181818182,0.13131313131313133,0.1414141414141414,0.1414141414141414,0.13131313131313133,0.15151515151515152,55,4,3
llama2,seed_21,trained,full_model,all_domains_125_samples,125,"[""all""]",True,temp_06,zero_shot,structured,answer_first,json,test_set_2,0.42,0.5800000000000001,0.39,1,6,100,42,39,0.2857142857142857,0.4,0.5,0.3333333333333333,0.4,0.5714285714285714,0.23076923076923078,0.12,0.16,0.16,0.14,0.15,0.14,0.12,55,3,3
llama2,seed_21,trained,full_model,all_domains_all_samples,all,"[""all""]",True,temp_06,zero_shot,structured,answer_first,json,test_set_1,0.48484848484848486,0.5151515151515151,0.46464646464646464,0,6,99,48,46,0.5714285714285714,0.35714285714285715,0.38461538461538464,0.5333333333333333,0.5714285714285714,0.38461538461538464,0.4375,0.15151515151515152,0.1414141414141414,0.13131313131313133,0.13131313131313133,0.15151515151515152,0.1414141414141414,0.15151515151515152,47,2,4
llama2,seed_21,trained,full_model,all_domains_all_samples,all,"[""all""]",True,temp_06,zero_shot,structured,answer_first,json,test_set_2,0.45,0.55,0.44,0,4,100,45,44,0.5,0.4,0.6428571428571429,0.5333333333333333,0.26666666666666666,0.42857142857142855,0.3076923076923077,0.14,0.15,0.15,0.14,0.16,0.12,0.14,52,1,3
llama2,seed_21,trained,full_model,all_domains_1_samples,1,"[""all""]",True,temp_06,zero_shot,unstructured,answer_first,json,test_set_1,0.2727272727272727,0.7272727272727273,0.21212121212121213,0,19,99,27,21,0.14285714285714285,0.2857142857142857,0.23076923076923078,0.26666666666666666,0.21428571428571427,0.07692307692307693,0.25,0.04040404040404041,0.16161616161616163,0.12121212121212122,0.15151515151515152,0.1717171717171717,0.1111111111111111,0.16161616161616163,59,6,13
