model_name,seed,training_status,quantisation_status,training dataset,num_training_samples,num_training_domains,randomised_training_samples,generation_strategy,prompt_type,explanation_type,response_type,response_format,evaluation_dataset,label_accuracy,misclassification_rate,combined_accuracy,malformed_label,malformed_domain,total_predictions,correct_predictions,correct_label_and_domain,Constitutional_Law_accuracy,Contracts_accuracy,Criminal_Law_accuracy,Evidence_accuracy,Real_Property_accuracy,Torts_accuracy,Civil_Procedure_accuracy,Constitutional_Law_confidence,Contracts_confidence,Criminal_Law_confidence,Evidence_confidence,Real_Property_confidence,Torts_confidence,Civil_Procedure_confidence,correct_domain_wrong_label,correct_label_wrong_domain,both_wrong
llama2,seed_206,trained,full_model,all_domains_all_samples,all,"[""all""]",True,temp_025,few_shot,structured,fact_first,markdown,test_set_1,0.35353535353535354,0.6464646464646464,0.32323232323232326,0,10,99,35,32,0.21428571428571427,0.42857142857142855,0.46153846153846156,0.2,0.21428571428571427,0.3076923076923077,0.4375,0.15151515151515152,0.16161616161616163,0.13131313131313133,0.1414141414141414,0.10101010101010101,0.1414141414141414,0.1414141414141414,57,3,7
llama2,seed_206,trained,full_model,all_domains_all_samples,all,"[""all""]",True,temp_06,few_shot,structured,fact_first,markdown,test_set_1,0.41414141414141414,0.5858585858585859,0.3838383838383838,0,10,99,41,38,0.21428571428571427,0.5,0.5384615384615384,0.26666666666666666,0.35714285714285715,0.38461538461538464,0.4375,0.15151515151515152,0.16161616161616163,0.13131313131313133,0.1414141414141414,0.10101010101010101,0.1414141414141414,0.1414141414141414,51,3,7
llama2,seed_206,trained,full_model,all_domains_all_samples,all,"[""all""]",True,temp_09,few_shot,structured,fact_first,markdown,test_set_2,0.29,0.71,0.25,0,10,100,29,25,0.14285714285714285,0.4,0.2857142857142857,0.3333333333333333,0.06666666666666667,0.21428571428571427,0.3076923076923077,0.13,0.17,0.15,0.14,0.09,0.13,0.13,65,4,6
llama3,seed_3991,untrained,full_model,,,,,greedy,few_shot,unstructured,answer_first,markdown,test_set_1,0.5353535353535354,0.46464646464646464,0.0,2,99,99,53,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,53,46
llama3,seed_3991,untrained,full_model,,,,,greedy,few_shot,structured,answer_first,markdown,test_set_1,0.35353535353535354,0.6464646464646464,0.0,33,98,99,35,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010101010101010102,0.0,1,35,63
llama3,seed_3991,untrained,full_model,,,,,greedy,few_shot,structured,answer_first,markdown,test_set_2,0.34,0.6599999999999999,0.0,35,99,100,34,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,1,34,65
llama3,seed_3991,untrained,full_model,,,,,greedy,few_shot,unstructured,answer_first,markdown,test_set_2,0.48,0.52,0.0,2,100,100,48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,48,52
llama3,seed_3991,untrained,full_model,,,,,temp_025,few_shot,unstructured,answer_first,markdown,test_set_1,0.5151515151515151,0.48484848484848486,0.0,4,99,99,51,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,51,48
llama3,seed_3991,untrained,full_model,,,,,temp_025,few_shot,structured,answer_first,markdown,test_set_1,0.3434343434343434,0.6565656565656566,0.0,33,98,99,34,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010101010101010102,0.0,0.0,0.0,1,34,64
llama2,seed_206,trained,full_model,all_domains_all_samples,all,"[""all""]",True,temp_09,few_shot,structured,fact_first,markdown,test_set_1,0.35353535353535354,0.6464646464646464,0.32323232323232326,0,10,99,35,32,0.2857142857142857,0.5,0.6153846153846154,0.2,0.21428571428571427,0.23076923076923078,0.25,0.15151515151515152,0.16161616161616163,0.13131313131313133,0.1414141414141414,0.10101010101010101,0.1414141414141414,0.1414141414141414,57,3,7
